,gsis_id,player_id,team,name_fixed,position,years_pro,height,weight,start_time,week,day_of_week,season_year,season_type,home_team,away_team,home_score,away_score,fantasy_score,fumbles_rec_tds,fumbles_lost,passing_int,passing_yds,passing_tds,passing_twoptm,receiving_rec,receiving_tds,receiving_twoptm,receiving_yds,rushing_yds,rushing_tds,rushing_twoptm,kicking_rec_tds,puntret_tds,receiving_tar,rushing_att,passing_att,forecast,home,Year,Week,team_id,city,name,temp,desc,desc_simple,prev_score,avg3_score,avg5_score,avg3_tar,avg5_tar,avg3_rush_att,avg5_rush_att,prev_tar,prev_rush_att,prev_pass_att,avg3_pass_att,avg5_pass_att
1763,2017091003,00-0027793,PIT,A.Brown,WR,9.0,70.0,181.0,2017-09-10 17:00:00,1,Sunday,2017,Regular,CLE,PIT,18,21,23.7,0,0,0,0,0,0,11,0,0,182,0,0,0,0,0,11,0,0,65f Clear,Browns,2017.0,1.0,CLE,Cleveland,Browns,65.0,Clear,Good,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1777,2017091706,00-0027793,PIT,A.Brown,WR,9.0,70.0,181.0,2017-09-17 17:00:00,2,Sunday,2017,Regular,PIT,MIN,26,9,8.7,0,0,0,0,0,0,5,0,0,62,0,0,0,0,0,11,0,0,78f Clear,Steelers,2017.0,2.0,PIT,Pittsburgh,Steelers,78.0,Clear,Good,23.7,,,,,,,11.0,0.0,0.0,,
1790,2017092403,00-0027793,PIT,A.Brown,WR,9.0,70.0,181.0,2017-09-24 17:00:00,3,Sunday,2017,Regular,CHI,PIT,23,17,22.0,0,0,0,0,0,0,10,1,0,110,0,0,0,0,0,14,0,0,87f Clear,Bears,2017.0,3.0,CHI,Chicago,Bears,87.0,Clear,Good,8.7,,,,,,,11.0,0.0,0.0,,
1801,2017100102,00-0027793,PIT,A.Brown,WR,9.0,70.0,181.0,2017-10-01 17:00:00,4,Sunday,2017,Regular,BAL,PIT,9,26,5.4,0,0,0,0,0,0,4,0,0,34,0,0,0,0,0,9,0,0,64f Clear,Ravens,2017.0,4.0,BAL,Baltimore,Ravens,64.0,Clear,Good,22.0,18.133333333333333,,12.0,,0.0,,14.0,0.0,0.0,0.0,
1812,2017100807,00-0027793,PIT,A.Brown,WR,9.0,70.0,181.0,2017-10-08 17:00:00,5,Sunday,2017,Regular,PIT,JAX,9,30,20.700000000000006,0,0,0,0,0,0,10,0,0,157,0,0,0,0,0,19,0,0,71f Mostly Cloudy,Steelers,2017.0,5.0,PIT,Pittsburgh,Steelers,71.0,Mostly Cloudy,Good,5.399999999999999,12.033333333333333,,11.333333333333336,,0.0,,9.0,0.0,0.0,0.0,
1823,2017101509,00-0027793,PIT,A.Brown,WR,9.0,70.0,181.0,2017-10-15 20:25:00,6,Sunday,2017,Regular,KC,PIT,13,19,25.5,0,0,0,0,0,0,8,1,0,155,0,0,0,0,0,10,0,0,60f Clear,Chiefs,2017.0,6.0,KC,Kansas City,Chiefs,60.0,Clear,Good,20.700000000000006,16.03333333333333,16.1,14.0,12.8,0.0,0.0,19.0,0.0,0.0,0.0,0.0
1835,2017102208,00-0027793,PIT,A.Brown,WR,9.0,70.0,181.0,2017-10-22 20:25:00,7,Sunday,2017,Regular,PIT,CIN,29,14,14.5,0,0,0,0,0,0,4,1,0,65,0,0,0,0,0,10,0,0,73f Clear,Steelers,2017.0,7.0,PIT,Pittsburgh,Steelers,73.0,Clear,Good,25.5,17.2,16.46,12.666666666666664,12.6,0.0,0.0,10.0,0.0,0.0,0.0,0.0
1845,2017102910,00-0027793,PIT,A.Brown,WR,9.0,70.0,181.0,2017-10-30 00:30:00,8,Sunday,2017,Regular,DET,PIT,15,20,9.5,0,0,0,0,0,0,5,0,0,70,0,0,0,0,0,10,0,0,DOME,Lions,2017.0,8.0,DET,Detroit,Lions,65.0,DOME,Good,14.5,20.233333333333327,17.619999999999994,13.0,12.4,0.0,0.0,10.0,0.0,0.0,0.0,0.0
1867,2017111203,00-0027793,PIT,A.Brown,WR,9.0,70.0,181.0,2017-11-12 18:00:00,10,Sunday,2017,Regular,IND,PIT,17,20,6.2,0,0,0,0,0,0,3,0,0,47,0,0,0,0,0,7,0,0,DOME,Colts,2017.0,10.0,IND,Indianapolis,Colts,65.0,DOME,Good,9.5,16.499999999999996,15.12,10.0,11.6,0.0,0.0,10.0,0.0,0.0,0.0,0.0
1877,2017111600,00-0027793,PIT,A.Brown,WR,9.0,70.0,181.0,2017-11-17 01:25:00,11,Thursday,2017,Regular,PIT,TEN,40,17,37.4,0,0,0,0,0,0,10,3,0,144,0,0,0,0,0,13,0,0,37f Mostly Cloudy,Steelers,2017.0,11.0,PIT,Pittsburgh,Steelers,37.0,Mostly Cloudy,Good,6.199999999999998,10.066666666666665,15.279999999999998,9.0,11.2,0.0,0.0,7.0,0.0,0.0,0.0,0.0
